,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,authorRG,Wife and mum.❤️ Bestselling author. 🖊 RNA.💖Earl Grey tea drinker. ☕️ Gin enthusiast. 🍸Fan of the afternoon nap & a cwtch.💞 Rep’d by @LBAAmanda,"South Wales, United Kingdom",1184,2055,17968,1,"When Diane looks for closure on a treasured relationship from seventy years ago, she finds herself on a journey she isn't prepared for, but is her granddaughter too distracted by her own troubled love life to help?
#Christmas #books #newrelease
🎄❄️🎁❤️🥰

https://t.co/AYXQkc9shJ https://t.co/OwJCD5sOhF",[]
1,hawa_wa_wa_,𝐏𝐄𝐑𝐓𝐇 🖤🎸 𝐏𝐋𝐀𝐍 💚🌈 #KDPPE 🌦🌤☀️🌻,,322,103,88104,96,"🖤2020.12.15 igs update🖤
Our baby just signed his signature on our stander poster at filming site!! 
May i get it from Thailand now 😭

Perth always love KDPPE heart by heart 🖤🖤 @perthppe 

Cr. perthxplanxgunn igs
#TellTheWorldILoveYou 
#KDPPE 
#PerthTanapon 
#PerthHome_CN https://t.co/vNrqxm5hZD",[]
2,GartsideJackie,"Love politics, have no time for Leftwaffe. very direct. voted for Brexit. Love my country","North West, England",219,316,33988,0,@Fox_Claire Well said I bet they love you 😂,[]
3,papriddey,Author of six books on Amazon --- Vesta Mansion trilogy --  An Experiment in Emotions -- Demons Dancing --  Josh Sheppard and the Island of Death,,22280,34875,644514,46,"RT @SSBazinet
✨TRACES OF HOME✨
“At its core, it is really a story about self-discovery, strength and true love.”
""Brilliant and Beautiful and Bold""
OPEN WIDE MY HEART Book One

#LoveStory #KindleUnlimited #book #Romance #IARTG #Selfworth #LiteraturePosts
https://t.co/oU2qogr7wL",[]
4,JonesTervell,,"Atlanta, GA",11,4,32,0,@DemiSutra Love God,[]
5,BOUJYYY,"extrovert,football,bants,single.",,406,443,15333,50,"when @wizkidayo said “i don tey i don tey i don try now” tears filled my eyes😭❤️🦅 

i fuccin love this guy😭❤️",[]
6,SwagYumiko,Let me tell you the tale of the blind seamstress and the thousand wolves. Pfp by @PunkinYumiko Commentator for @BrawlTourneysBT banner from @bh_pixel,Brawlhaven,845,594,2523,0,@HatefullLizard @Deus_Parkinson I love it,[]
7,Shhhh__Treasure,"TREASURE ONLY
#트레저 #TREASURE 
@treasuremembers @ygtreasuremaker


         Selective🤞",Don't act like an angel,178,158,2957,116,"[📢] MASS TWEET CHALLENGE

Goal: 5,000 Replies

Reply ""Congratulations"" + TREASURE member's names along with the hashtags below.

#TREASUREにBEAUTIFULな質問募集
#TREASURE_BEAUTIFUL
@treasuremembers 

Let's send our love &amp; support for our boys. ❤️ https://t.co/jF9d5VLDo6",[]
8,brckfvcknmaster,"🦒 (she/they, 22, bi)",mostly on tumblr,149,79,4438,0,thinking bout how disgusting dudebros simped over her for months only for her to be only into fem v. we love to see it. https://t.co/gX76Mg2Ut0,[]
9,LizzzyBot,The one and only Lizzybot twitter for all your Lizzybot needs!! {i: @yurukaya },,3,21,91085,0,"DatXandu B1NJ1N kumalegs I love you, Jintan. My love for you is the kind where I want to marry you. ♡Lizzybot♡",[]
10,elihewsn,waiting for bobbyskeetz's song,room on fire|18|she/her,254,331,3349,0,@thejoanna__ pls don't forget damon and the way im in love w all of them.....,[]
11,eveelxn,ig: evelynndao,w my boba ,163,150,569,10016,i love a “i know you’re sleeping but” text,[]
12,willowlarry,— piss off @hoaxoflarry ✿ (she/her),champagne problems ,359,568,5908,0,@hoaxoflarry @NoTwarrieZone AW THANKS 🥰🥰 love u,[]
13,choi_7chilli,Treasure 💎,TREASURE'S HEART,59,151,584,116,"[📢] MASS TWEET CHALLENGE

Goal: 5,000 Replies

Reply ""Congratulations"" + TREASURE member's names along with the hashtags below.

#TREASUREにBEAUTIFULな質問募集
#TREASURE_BEAUTIFUL
@treasuremembers 

Let's send our love &amp; support for our boys. ❤️ https://t.co/jF9d5VLDo6",[]
14,Ann_cp3,"puthinator for life!💚💙
Waiting for CP3!! whose arms out now
charlie liked x1  stephen liked x1
I love the puths to the moon & back 
@charlieputh @stephenputh",,41,96,3733,1,Hey @charlieputh thank you so much. You are the reason I don't go insane. Really thank you so much. I love you. 💚,[]
15,BartjeDordt,,dordrecht,532,257,99606,3090,"Love my mom and am so proud of her. So proud to have voted for @JoeBiden &amp; @KamalaHarris. Looking forward to January 20th, 2021. 🇺🇸 https://t.co/lEAV3hHHbl",[]
16,cdiortzuyu,multi but mostly bangtwice | (he/him) ♡︎,12 ,4865,4348,81367,26,"16. What is Love? — 155.9 million
18. YES or YES — 152.1 million",[]
17,Eva_Daalhuisen,:) she/her 💖💜💙 | IFB JUST WAIT | ot5 - larrie - 5sos | minor,post concert depression,422,304,822,6354,bisexuals be like 'I CANT-' cant what? cant tell the difference between platonic and romantic love??,[]
18,BtsVoltisa,Everything you can imagine is real💜ARMY since 2019 new acc,Albania,345,152,1756,0,@_minyoonie i love you💜💜💜💜💜💜💜,[]
19,4igot7_,♡ #Got7- 7or Never ♡ #GoldenChild ♡,xx_x_xx MTBB 852333,58,8,18785,11292,"GOT7 MONOGRAPH &lt;Breath of Love : Last Piece&gt; EP.05
https://t.co/a1p7ch1efZ

YouTube https://t.co/z7CjZnjbkX
MelOn https://t.co/FJ2uTSU2lP
Vibe https://t.co/A43CkUyDoq

#GOT7 #갓세븐 @GOT7Official
#IGOT7 #아가새
#GOT7_BreathofLove_LastPiece
#GOT7_Breath
#GOT7_LASTPIECE https://t.co/uU4FopVDey",[]
20,Miss_AllAboutMe,"❤....its the small things you do today , that will make the biggest tomorrow ! 🎓'17 MPHS| #FVSU💙💛|T-Shirt 🔌|SC•Miss_Brantley|",,2891,1648,33811,3,Shit hurt tf out my feelings when I love mfs and they do shit that make me feel like they just saying fuck me.,[]
21,DangEyler23,learn everything before you're old,Gettysburg Pennsylvania,5000,758,27143,0,@Ashhllee20 Beautiful! Love you,[]
22,ashleeeeeylove,"Ily Ashley DM ❤
followed by @ashdlmundo ❤️",,261,289,28695,5,Grabeee thank youuu starhunt family and kayo rin guys for the three weeks of hosting and having fun with the other artists 🥺 i hope you guys enjoyed the time we spent i appreciate the love and support bigtime!! i love you all po ♥️ https://t.co/D70e744Ng5,[]
23,JD_RFC_TIGER,nothing to say,melbourne,992,1175,43404,0,"@Tigers_of_Old My favourite of the current tigers, I just love the passion he shows for the yellow and black. Had a couple of big money offers from interstate clubs a few years back but stayed a tiger and what a great choice that’s been",[]
24,spoiledboii,sini hayukk dimanjain,,265,252,1854,0,"@FWBESS - movie or series addict (even korean)
- 185 cm
- love clingy girl
- talkative
- foodies
- m
- sby
- 21yo",[]
25,beauteartpost,gallery,,31,118031,41744,0,@NetflixFR love actually ❤❤,[]
26,thatguydan_,#EndSARS,"London, England",488,779,19001,1707,I just want to say thank y’all for the love. I really appreciate it! From my humble self Osita Iheme aka Paw paw 😊 https://t.co/UlOuwh4VEV,[]
27,kerdegiajames,LOVED FOREVER 💗,"Atlanta, GA",47,14,87,0,I just wake up and instantly love my life 💗,[]
28,diaasultn,방탄수년단 💜 Ohmmmmmmyyyyyyyyggghghhhhhhhgggggggggdhdhsjsixudbslsogbdsisgshdbxidjdbdidhdifjfiri,0613,916,904,22133,175,"That's why i love him 
He is the precious person in the world .
THANK YOU TAEHYUNG https://t.co/I3wwYDCkhk",[]
29,ItszQueenElsa,crackhead!,Arendelle. ,340,1046,91938,0,♕ : An act of true love may thaw a frozen heart.,[]
30,beccabrimfield,21//welsh//gymnast//UoN grad,,395,190,1448,0,@amythomas98 Love you forever!!!,[]
31,BigHufferPuffer,"(18+ ONLY) Name is Ruby She/Them(?) bi(?) aro(?) (im a mess)| fluffy big bois abound. Homo Furries. Icon by me uwu
(BLACK LIVES MATTER)
The Multi-Simper",Echo,330,952,10831,0,Im in a BIG Cliff mood rn. and wanted to try a toony style...love him...*smooch sound* https://t.co/OZKRHY9Gcb,[]
32,Aziza14767435,peace✌,,5949,6079,7789,1,"@davvydmoore Show LOVE let's go up together...💪💪

We follow back asap✍️✍️.
@Hancleov
@H3nbnjcl
@mchachu_  
@Michael___mike
@C_Kivuruga
@anjoda2019
@KSingle16
@sakallytz
@Aziza14767435
@LucasMwalufuna
@Joseeisdory 
@Karruechejoe
@Nyamwezi1
@KijumbaJr
@KichwaMufu",[]
33,Mocii29,"Figure skater/
kpop fan/
K-pop random dance event host/
mf gamer girl/
I want a frog/
my little bakugou: @DJ_Javikz",,433,192,8897,1,@OfflineTV @Valkyrae @fuslie @pokimanelol @LilyPichu @yvonnie @starsmitten_ I LOVE WOMEN,[]
34,dillyfloss,"There but for the grace of God; try to be kind, even when it’s hard! 😁.Organ donation is the gift that never stops giving. Text DONOR to 50500 🙂❤️no DM’s",,1010,382,3802,0,@Wholeswell 😅🤣🤣😅🍻 love it,[]
35,aimhbunnysun,#BRIGHT & #LOUIS: it’s the kings’ time to shine,totgang •TLM •SHE-H.S. ,1038,977,15166,0,@sargaysm YES I LOVE IT,[]
36,jimmmmminshhi,"v to jimin: ""good, perfect ‘til the end"" • ‘96 • she/her ♡",,3330,3624,34908,0,@Tarartvm2 im still crying pls i love vmin 😭😭😭,[]
37,Moon10God,Call me Varian MoonDust /Amateur Artist and writer/All time Loser :-;/ Mythical Creature and God Of Moon’s/ 16 years old/,"California, USA",1537,307,23719,9,"hello trans and nonbinary followers

you're so valid. i wish so many more people in the world were open-minded and willing to learn. you're amazing and beautiful and i love you; yall are some of the strongest people i know",[]
38,ShawnJawn_x,I make indie music and more✨// VARIATION 🎸//🇨🇺🇧🇿 //,"Los Angeles, CA",286,314,14113,0,"I have so many reasons on why I appreciate Yanet so much 💜 No one is as down as her she’s helped me with EVERYTHING even when I’ve fucked up &amp;always wants the best for me. I’m always gon love her. She’s my peace, she’s prevented me from so many problems breaking so many faces in https://t.co/l6OLOdI2uZ",[]
39,danishk08032818,I won't only Asim riyaz my superstar bro news,Qatar,161,93,4206,51,"#AsimSquad is the best ❤

Har baar apna hi record todte h amazing. ✨✨✨✨

I'm sure @imrealasim must be so happy cuz he is getting so much of love &amp; support.

#AsimRiaz https://t.co/aCJRdrs0Dn",['AsimSquad']
40,hyunsungxxx,@Straykids,🇵🇭,491,372,302,95,istg stray kids has the most welcoming fandom mom i love it here,[]
41,GulfieSuppawut,"MewGulf is REAL,#MGPFG🌻☀️
🌻☀️⚽🐼
I LOVE GULF ,AND I RESPECT HIS FAEN(MEW)🤡🥰💞☀️🌻⚽🐼
EXO 🤟",Philippines,165,57,9706,1,Fighting 💪💪💪 love u 😘😘😘#HairitzxGulf,['HairitzxGulf']
42,Prashan24543838,"STREAM WILLOW 
STREAM #Evermore",,171,114,1412,5,@TheAchillesHeel @Z100NewYork @taylorswift13 Hi @Z100NewYork I would love to hear #willow by @taylorswift13 - can you please play it? Thank you in advance! https://t.co/TEccvT6YB8,['willow']
